Extracted material entries from BeamNG level archives
===============================================
Cliff.zip | material_key=BeachSand | material_name=BeachSand | internalName=BeachSand
Cliff.zip | material_key=Concrete | material_name=Concrete | internalName=Concrete
Cliff.zip | material_key=Concrete2 | material_name=Concrete2 | internalName=Concrete2
Cliff.zip | material_key=Forest | material_name=Forest | internalName=Forest
Cliff.zip | material_key=Grass | material_name=Grass | internalName=Grass
Cliff.zip | material_key=Grass2 | material_name=Grass2 | internalName=Grass2
Cliff.zip | material_key=Rock | material_name=Rock | internalName=Rock
Cliff.zip | material_key=Rock2 | material_name=Rock2 | internalName=Rock2
Cliff.zip | material_key=RockyDirt | material_name=RockyDirt | internalName=RockyDirt
Cliff.zip | material_key=dirt_grass | material_name=dirt_grass | internalName=dirt_grass
Cliff.zip | material_key=forest_floor | material_name=forest_floor | internalName=forest_floor
Cliff.zip | material_key=grass1 | material_name=grass1 | internalName=grass1
Cliff.zip | material_key=grass1-dry | material_name=grass1-dry | internalName=grass1-dry
Cliff.zip | material_key=sand | material_name=sand | internalName=sand
GridMap.zip | material_key=Asphalt-ac348aaa-080f-4d49-92db-d79fdfad5f73 | material_name=Asphalt-ac348aaa-080f-4d49-92db-d79fdfad5f73 | internalName=Asphalt
GridMap.zip | material_key=BeachSand-337aab39-2270-481c-b31c-34fc9f440235 | material_name=BeachSand-337aab39-2270-481c-b31c-34fc9f440235 | internalName=BeachSand
GridMap.zip | material_key=Grass-a8517239-7693-4a46-9981-777a7969a536 | material_name=Grass-a8517239-7693-4a46-9981-777a7969a536 | internalName=Grass
GridMap.zip | material_key=Grid-1811d687-21cf-4e52-a8f8-31e1d4db597e | material_name=Grid-1811d687-21cf-4e52-a8f8-31e1d4db597e | internalName=Grid
GridMap.zip | material_key=Ice-fc10ebb4-1e5e-42a1-99c7-923a5c5fe19f | material_name=Ice-fc10ebb4-1e5e-42a1-99c7-923a5c5fe19f | internalName=Ice
GridMap.zip | material_key=Mud-cd718471-ec62-4e82-996d-84b520ff8eb4 | material_name=Mud-cd718471-ec62-4e82-996d-84b520ff8eb4 | internalName=Mud
GridMap.zip | material_key=Rock-e21aeb19-4623-43ad-8dab-663aaebfae11 | material_name=Rock-e21aeb19-4623-43ad-8dab-663aaebfae11 | internalName=Rock
GridMap.zip | material_key=RockyDirt-3eb7bc0f-dc33-4fe6-a315-073816aebc53 | material_name=RockyDirt-3eb7bc0f-dc33-4fe6-a315-073816aebc53 | internalName=RockyDirt
GridMap.zip | material_key=asphalt_prepped-0f3dd613-85c9-4a31-8c8e-dcf211d8b1dc | material_name=asphalt_prepped-0f3dd613-85c9-4a31-8c8e-dcf211d8b1dc | internalName=asphalt_prepped
Industrial.zip | material_key=BeachSand-e66ba53b-10fd-4dbd-8395-53b8168944aa | material_name=BeachSand-e66ba53b-10fd-4dbd-8395-53b8168944aa | internalName=BeachSand
Industrial.zip | material_key=Concrete-64602e13-69d8-46a2-b4f9-8d2ff4cde74c | material_name=Concrete-64602e13-69d8-46a2-b4f9-8d2ff4cde74c | internalName=Concrete
Industrial.zip | material_key=Forest-3e3945cf-e797-4998-9fad-03c78967316e | material_name=Forest-3e3945cf-e797-4998-9fad-03c78967316e | internalName=Forest
Industrial.zip | material_key=Grass-41600512-db8d-429f-9bf9-f12e88d1f6ac | material_name=Grass-41600512-db8d-429f-9bf9-f12e88d1f6ac | internalName=Grass
Industrial.zip | material_key=Grass2-26acdede-6d1e-4606-97c5-ff299d1dedd6 | material_name=Grass2-26acdede-6d1e-4606-97c5-ff299d1dedd6 | internalName=Grass2
Industrial.zip | material_key=Grass3-ded05d83-d652-46d8-b931-a0f84cf29e34 | material_name=Grass3-ded05d83-d652-46d8-b931-a0f84cf29e34 | internalName=Grass3
Industrial.zip | material_key=Gravel-f72ce222-b198-40ea-acb3-4a726348a3c0 | material_name=Gravel-f72ce222-b198-40ea-acb3-4a726348a3c0 | internalName=Gravel
Industrial.zip | material_key=Mud-5602597f-55c3-4a33-8cfb-3770dbba86fa | material_name=Mud-5602597f-55c3-4a33-8cfb-3770dbba86fa | internalName=Mud
Industrial.zip | material_key=Rock-a641bc61-43df-4924-b215-d6f0f7d87d31 | material_name=Rock-a641bc61-43df-4924-b215-d6f0f7d87d31 | internalName=Rock
Industrial.zip | material_key=RockyDirt-52208b9f-4a4f-4476-b9c7-7ca31bf6b6f7 | material_name=RockyDirt-52208b9f-4a4f-4476-b9c7-7ca31bf6b6f7 | internalName=RockyDirt
Industrial.zip | material_key=dirt-fb3b540e-f039-4c1f-8f6e-56f0d4eaa140 | material_name=dirt-fb3b540e-f039-4c1f-8f6e-56f0d4eaa140 | internalName=dirt
Industrial.zip | material_key=dirt_grass-d5ac8be9-09dd-422e-881c-fd253451ca2e | material_name=dirt_grass-d5ac8be9-09dd-422e-881c-fd253451ca2e | internalName=dirt_grass
Industrial.zip | material_key=dirt_loose-2bf75ff1-44eb-4a5e-b8cc-f0a9f29c79b2 | material_name=dirt_loose-2bf75ff1-44eb-4a5e-b8cc-f0a9f29c79b2 | internalName=dirt_loose
Industrial.zip | material_key=dirt_rocky_large-f2ce1231-0384-4c93-90e5-84723074a5ba | material_name=dirt_rocky_large-f2ce1231-0384-4c93-90e5-84723074a5ba | internalName=dirt_rocky_large
Industrial.zip | material_key=forest_floor-6a122bde-afef-48cc-8234-c0390113b01b | material_name=forest_floor-6a122bde-afef-48cc-8234-c0390113b01b | internalName=forest_floor
Industrial.zip | material_key=groundmodel_asphalt1-9ece8aee-e688-49b6-9606-f0a87ae38649 | material_name=groundmodel_asphalt1-9ece8aee-e688-49b6-9606-f0a87ae38649 | internalName=groundmodel_asphalt1
Industrial.zip | material_key=industrialTerrainMaterialTextureSet | material_name=industrialTerrainMaterialTextureSet | internalName=industrialTerrainMaterialTextureSet
Utah.zip | material_key=GRAVEL-1d2009d8-d8af-4a4b-83ef-5bf13706becb | material_name=GRAVEL-1d2009d8-d8af-4a4b-83ef-5bf13706becb | internalName=GRAVEL
Utah.zip | material_key=Grass-9ee14ba8-c41c-42fd-a4e9-56b93dbb4e6f | material_name=Grass-9ee14ba8-c41c-42fd-a4e9-56b93dbb4e6f | internalName=Grass
Utah.zip | material_key=Grass2-9dde8edb-be4e-4bde-8852-6f8d04129a7e | material_name=Grass2-9dde8edb-be4e-4bde-8852-6f8d04129a7e | internalName=Grass2
Utah.zip | material_key=Grass3-ea68aa0d-efad-45a1-896e-590f41f8fd58 | material_name=Grass3-ea68aa0d-efad-45a1-896e-590f41f8fd58 | internalName=Grass3
Utah.zip | material_key=Rock-4fefdb78-94ad-4710-ba68-312bbc116415 | material_name=Rock-4fefdb78-94ad-4710-ba68-312bbc116415 | internalName=Rock
Utah.zip | material_key=UtahTerrainTextureSet | material_name=UtahTerrainTextureSet | internalName=UtahTerrainTextureSet
Utah.zip | material_key=dirt_grass-2e645206-0dd3-4f32-aaca-64d80185cff2 | material_name=dirt_grass-2e645206-0dd3-4f32-aaca-64d80185cff2 | internalName=dirt_grass
Utah.zip | material_key=dirt_loose-0da3bd79-dbda-4730-87da-49b8fa43e4de | material_name=dirt_loose-0da3bd79-dbda-4730-87da-49b8fa43e4de | internalName=dirt_loose
